stop_id,stop_name,stop_lat,stop_lon,mode,nearest_metro_id,nearest_metro_name,dist_to_metro_m,in_walk_zone,in_feeder_zone,route_diversity,Morning_freq,Midday_freq,Evening_freq
b7pvPbhF,Gayathri Nagar-Injapur,17.3137619385777,78.5812260281015,bus,LBN,L. B. Nagar,7205.83590330274,False,False,1.0,0.3333333333333333,0.0,0.0
pAFHHHY0,Habsiguda,17.419199,78.541818,bus,HSG,Habsiguda,233.90885984787707,True,True,2.0,0.3333333333333333,0.0,0.0
xV3AXybA,Chinna Golconda,17.2160754770657,78.3890352656042,bus,GAB,Gandhi Bhavan,28114.780242137673,False,False,2.0,0.3333333333333333,0.0,0.0
f2hYmISZ,Theegapur,17.160597,78.270903,bus,GAB,Gandhi Bhavan,44485.894097106175,False,False,3.0,0.0,0.0,0.0
x7nCK0hW,Pulimaktha Village Twd Shamsabad,17.1691768372151,78.3592128772332,bus,GAB,Gandhi Bhavan,36297.374789574715,False,False,1.0,0.3333333333333333,0.0,0.0
jVtb5Cm3,Nagireddipalle-Maheswaram,17.1634160114977,78.3631128482895,bus,GAB,Gandhi Bhavan,36823.60195296326,False,False,2.0,0.6666666666666666,0.0,0.0
0leL5NpD,Sanghiguda,17.1996958469341,78.3854019595201,bus,GAB,Gandhi Bhavan,30555.18213900591,False,False,1.0,0.0,0.0,0.0
X2ryL72k,Pulimaktha Village Twd Ameerpet,17.169158897525,78.3593121113432,bus,GAB,Gandhi Bhavan,36293.333824147536,False,False,1.0,0.0,0.0,0.0
mLzJfT69,7 Tombs,17.3973758362232,78.4009480370583,bus,JCP,Jubilee Hills Checkpost,4958.364432277951,False,False,1.0,0.3333333333333333,0.0,0.5
QA7DB0d4,Banjara Darwaza,17.392300276863,78.3997839729706,bus,JCP,Jubilee Hills Checkpost,5726.5193375820445,False,False,1.0,0.3333333333333333,0.0,0.5
kNGGmJ1D,Alijapur,17.3923132490752,78.3920001983642,bus,PED,Peddamma Gudi,6194.118120967279,False,False,1.0,0.3333333333333333,0.0,0.5
