stop_id,stop_name,stop_lat,stop_lon,LMCI_old,LMCI_new,LMCI_new2,LMCI_mean,Morning_LMCI,Midday_LMCI,Evening_LMCI,density_norm,walkzone_norm,Morning_freq_norm,stop_count_3km,stop_count_800m,demand_count,desert_severity,is_persistent_desert,priority_score,service_class,lmci_for_mclp,lmci_deficit,lmci_deficit_norm,candidate_equity_weight,covered_demand_points_if_selected,weighted_demand_if_selected,equity_weighted_candidate_score,candidate_rank
GNH,Gandhi Hospital,17.4255155,78.501956,1.397843848151881,2.414700064302371,2.414700064302371,1.397843848151881,1.872900811656032,1.112719520697809,1.2079112121018014,0.0832826747720364,0.2857142857142857,0.2926932880203908,183.0,6,21,Persistent,True,8.024377316869918,Transit Desert,2.414700064302371,4.048673795879999,0.6624626641689559,1.4722402926839286,7,8.75,12.882102560984375,20
ROP,Rasoolpura,17.443612,78.4764053,3.343000147265668,3.2139701208184013,3.2139701208184013,3.343000147265668,3.3962611194068746,2.9012235757299347,3.731515746660192,0.2555015197568389,0.2857142857142857,0.4582598087270985,466.3,6,9,Persistent,True,5.275218380524251,Transit Desert,3.2139701208184013,3.249403739363969,0.5316824142093529,1.4382374276944316,7,8.75,12.584577492326277,21
MKL,Malakpet,17.3771888,78.4939356,3.374281428819357,3.858084957176228,3.858084957176228,3.374281428819357,3.5505078624784336,3.5604181508062798,3.01191827317336,0.3225531914893617,0.7857142857142857,0.2880069048293348,576.6,13,17,Persistent,True,5.231007427007123,Transit Desert,3.858084957176228,2.6052889030061426,0.4262893763808728,1.410835237859027,7,8.75,12.344808331266487,22
NEM,New Market,17.3734454,78.5031791,3.56624236178109,3.0934933891366576,3.0934933891366576,3.56624236178109,3.329133565005508,4.115512195897018,3.254081324440744,0.3406079027355623,0.3571428571428571,0.3172377985462098,606.3,7,8,Partial,False,4.959702177901212,Transit Desert,3.0934933891366576,3.369880471045713,0.5513953722455063,1.1102790744491013,8,10.0,11.102790744491013,23
MAD,Madhapur,17.4372637,78.4004257,0.5180983642360989,1.0711198425754005,1.0711198425754005,0.5180983642360989,0.654749207841274,0.4270516717325228,0.4724942131345001,0.0139817629179331,0.3571428571428571,0.0569243840271877,69.0,7,9,Persistent,True,9.267753059949644,Transit Desert,1.0711198425754005,5.3922540176069695,0.8823054517295932,1.529399417449694,7,7.25,11.088145776510283,24
DSN,Dilsukh Nagar,17.3685493,78.5253873,3.420871533357064,3.238979503296464,3.238979503296464,3.420871533357064,3.554708663776072,3.673643808914594,3.0342621273805253,0.2249240121580547,0.2142857142857142,0.5539507221750212,416.0,5,6,Persistent,True,5.165159966680428,Transit Desert,3.238979503296464,3.2243943568859064,0.5275902637964207,1.4371734685870694,6,7.25,10.419507647256253,25
OMC,Osmania Medical College,17.3820769,78.4817011,6.6315512907431104,6.4633738601823705,6.4633738601823705,6.6315512907431104,6.822188449848024,6.822188449848024,6.250276972533283,0.4930091185410334,0.3571428571428571,1.0,857.0,7,22,,False,0.6273914846394646,Moderate,6.4633738601823705,0.0,0.0,1.0,8,10.0,10.0,26
PAR,Paradise,17.4434668,78.4862436,4.877889222215239,4.9886988214866514,4.9886988214866514,4.877889222215239,4.954874206753309,4.663838811311117,5.0149546485812895,0.4931914893617021,0.7142857142857143,0.4436577614147708,857.3,12,20,,False,3.1059047790314454,Moderate,4.9886988214866514,1.474675038695719,0.24129312564325436,1.0482586251286508,9,9.5,9.958456938722183,27
DGC,Durgam Cheruvu,17.4429466,78.3875721,0.8922031867669326,1.7362576278364703,1.7362576278364703,0.8922031867669326,1.0943682485738562,0.4465968210040166,1.135644490722925,0.0,0.0714285714285714,0.2557349192863212,46.0,3,23,Persistent,True,8.739017340121256,Transit Desert,1.7362576278364703,4.7271162323459,0.7734725421205556,1.5011028609513446,6,6.25,9.381892880945903,28
NAM,Nampally,17.392222,78.4701612,1.6270566916209004,2.510176880383564,2.510176880383564,1.6270566916209004,1.892881263208659,1.4742637748813705,1.5140250367726718,0.1545896656534954,0.3571428571428571,0.190697519449581,300.3,7,24,Persistent,True,7.700422610898398,Transit Desert,2.510176880383564,3.9531969797988067,0.6468403075316096,1.4681784799582187,5,6.25,9.176115499738867,29
KPH,KPHB Colony,17.4937602,78.4018258,1.4591139288063222,1.8442654211241856,1.8442654211241856,1.4591139288063222,1.6952264821532164,1.2235699096748835,1.458545394590867,0.1489361702127659,0.4285714285714285,0.1304935506294894,291.0,8,7,Persistent,True,7.937782121492294,Transit Desert,1.8442654211241856,4.619108439058185,0.7557998092456074,1.496507950403858,5,5.25,7.856666739620255,30
UPL,Uppal,17.4000665,78.5601868,5.853429164961349,5.3878518876232135,5.3878518876232135,5.853429164961349,6.007002244126921,6.127199776094193,5.426085474662933,0.3598784194528875,0.3571428571428571,0.9626168224299064,638.0,7,7,,False,1.7271393026609916,Moderate,5.3878518876232135,1.075521972559157,0.17598186152681286,1.0351963723053625,6,7.5,7.763972792290219,31
SEC_E,Secunderabad East,17.4357184,78.5054623,5.621931249103743,5.58121314013717,5.58121314013717,5.621931249103743,5.805146758506745,5.226837864064901,5.833809124739586,0.4984802431610942,0.7857142857142857,0.6317578142467468,866.0,13,14,,False,2.0543235831300164,Moderate,5.58121314013717,0.8821607200452002,0.1443432023150499,1.02886864046301,6,7.5,7.716514803472576,32
YUG,Yusufguda,17.4351132,78.4273216,1.1658259900220038,1.4674730717681603,1.4674730717681603,1.1658259900220038,1.083972698607815,1.232094847967919,1.1814104234902771,0.0121580547112462,0.2857142857142857,0.1843670348343246,66.0,6,11,Persistent,True,8.35229645034014,Transit Desert,1.4674730717681603,4.99590078841421,0.8174523098365122,1.512537600557493,4,4.75,7.1845536026480925,33
NGR,NGRI,17.4148264,78.5463345,1.8426853850390377,1.7889136614032215,1.7889136614032215,1.8426853850390377,1.8792534766883544,2.008855048475499,1.6399476299532605,0.1337386018237082,0.2142857142857142,0.2490686883210247,266.0,5,4,Persistent,True,7.395666869823458,Transit Desert,1.7889136614032215,4.674460198779149,0.7648567192511763,1.4988627470053058,4,4.75,7.119598048275202,34
BTN,Bharat Nagar,17.4629092,78.4305364,3.274225396029749,2.7463230019135763,2.7463230019135763,3.274225396029749,2.948693938791374,3.306937404461803,3.5670448448360697,0.218419452887538,0.2142857142857142,0.4105777400169924,405.3,5,7,Persistent,True,5.37242019512461,Transit Desert,2.7463230019135763,3.7170508582687942,0.6082009908839873,1.4581322576298366,4,4.75,6.926128223741724,35
PRN,Prakash Nagar,17.4448889,78.4658749,3.95985357649412,3.78267335170298,3.78267335170298,3.95985357649412,4.165738715450388,3.429154918079954,4.284667095952019,0.2145896656534954,0.2142857142857142,0.7196261682242991,399.0,5,6,Partial,False,4.403397376653516,Transit Desert,3.78267335170298,2.6807005084793905,0.4386285707911272,1.0877257141582255,5,6.25,6.79828571348891,36
GAB,Gandhi Bhavan,17.3858253,78.4733347,2.9449432977408065,3.699247540181939,3.699247540181939,2.9449432977408065,3.3537210272509177,2.883421965901394,2.597686900070108,0.278419452887538,0.2857142857142857,0.4189773692747355,504.0,6,26,Persistent,True,5.837806356381742,Transit Desert,3.699247540181939,2.7641263200004316,0.45227908652715076,1.4175925624970593,4,4.75,6.733564671861032,37
MSB,Musarambagh,17.3710873,78.5119545,3.827895680215068,3.426859539347112,3.426859539347112,3.827895680215068,3.7943961387588354,4.1169789080806645,3.5723119938057044,0.4832826747720364,0.2857142857142857,0.2730671197960918,841.0,6,11,Partial,False,4.589898188923566,Transit Desert,3.426859539347112,3.0365143208352583,0.49684846648172276,1.0993696932963446,5,6.0,6.596218159778068,38
