stop_name,stop_id,scenario_id,scenario_name,intervention_type,cost_band,current_lmci,simulated_lmci,lmci_gain,priority_score,demand_signal,intervention_readiness,impact_multiplier,simulated_daily_ridership_gain,simulated_conversion_gain,network_value_score,mclp_selected,desert_severity,simulation_priority_score,intervention_rank
Osmania Medical College,OMC,S4,Integrated Multimodal Hub,multimodal,High,6.4633738601823705,7.23337386018237,0.77,19.51,22.0,0.25,1.1,24.006400000000003,4.3211520000000005,9.229785045592704,False,,60.24,41
Lakdi-ka-pul,LKP,S4,Integrated Multimodal Hub,multimodal,High,6.226414036682479,6.996414036682479,0.77,23.28,27.0,0.25,1.1,29.462400000000006,5.303232000000001,8.927424310806844,False,,59.07,42
Secunderabad West,SCR,S4,Integrated Multimodal Hub,multimodal,High,6.161456956578252,6.931456956578252,0.77,30.68,37.0,0.25,1.1,40.3744,7.267392,8.84453907659385,False,,58.84,43
L. B. Nagar,LBN,S4,Integrated Multimodal Hub,multimodal,High,6.0375038391302684,6.807503839130268,0.77,6.89,4.0,0.25,1.1,4.364800000000001,0.7856640000000001,8.686374898730222,False,,57.88,44
Secunderabad East,SEC_E,S4,Integrated Multimodal Hub,multimodal,High,5.58121314013717,6.351213140137171,0.77,18.64,14.0,0.25,1.1,15.276800000000003,2.7498240000000003,8.104147966815031,False,,55.65,45
Parade Ground,PRG,S4,Integrated Multimodal Hub,multimodal,High,5.400621359542034,6.170621359542034,0.77,23.73,20.0,0.25,1.1,21.824,3.9283200000000003,7.873712854775636,False,,54.79,46
Uppal,UPL,S4,Integrated Multimodal Hub,multimodal,High,5.3878518876232135,6.157851887623213,0.77,16.44,7.0,0.25,1.1,7.638400000000002,1.3749120000000001,7.85741900860722,False,,54.6,47
Paradise,PAR,S4,Integrated Multimodal Hub,multimodal,High,4.9886988214866514,5.758698821486652,0.77,24.36,20.0,0.25,1.1,21.824,3.9283200000000003,7.348099696216967,False,,52.69,48
Victoria Memorial,VOM,S4,Integrated Multimodal Hub,multimodal,High,4.44811421676355,5.218114216763549,0.77,18.16,5.0,0.25,1.1,5.456,0.9820800000000001,6.658313740590289,False,,49.78,49
Chaitanyapuri,CHP,S4,Integrated Multimodal Hub,multimodal,High,4.089726340472016,4.859726340472015,0.77,17.72,2.0,0.25,1.1,2.728,0.49104000000000003,6.201010810442292,False,Partial,47.93,50
Tarnaka,TAR,S4,Integrated Multimodal Hub,multimodal,High,2.830395520134585,3.705395520134585,0.875,30.07,3.0,0.25,1.25,3.7199999999999998,0.6696,5.372823504195148,False,Persistent,47.77,51
Panjagutta,PUN,S4,Integrated Multimodal Hub,multimodal,High,3.92325813566266,4.69325813566266,0.77,23.39,8.0,0.25,1.1,8.729600000000001,1.5713280000000003,5.988597381105555,False,Partial,47.13,52
Prakash Nagar,PRN,S4,Integrated Multimodal Hub,multimodal,High,3.78267335170298,4.55267335170298,0.77,24.21,6.0,0.25,1.1,6.5472,1.178496,5.809211196773003,False,Partial,46.4,53
Mettuguda,MET,S4,Integrated Multimodal Hub,multimodal,High,3.655832383268632,4.425832383268633,0.77,18.57,5.0,0.25,1.1,5.456,0.9820800000000001,5.647362121050775,False,Partial,45.74,54
Musarambagh,MSB,S4,Integrated Multimodal Hub,multimodal,High,3.426859539347112,4.196859539347113,0.77,26.68,11.0,0.25,1.1,12.003200000000001,2.1605760000000003,5.355192772206915,False,Partial,44.63,55
New Market,NEM,S4,Integrated Multimodal Hub,multimodal,High,3.0934933891366576,3.8634933891366576,0.77,30.87,8.0,0.25,1.1,8.729600000000001,1.5713280000000003,4.929817564538375,False,Partial,42.9,56
Moosapet,MSP,S4,Integrated Multimodal Hub,multimodal,High,2.5787205635883304,3.3907205635883306,0.812,30.98,4.0,0.25,1.1600000000000001,4.602880000000001,0.8285184000000001,4.562553590364458,False,Partial,42.65,57
