stop_id,stop_name,stop_lat,stop_lon,stop_count_3km,stop_count_800m,density_norm,walkzone_norm,avg_Morning_freq,Morning_freq_norm,Morning_LMCI,avg_Midday_freq,Midday_freq_norm,Midday_LMCI,avg_Evening_freq,Evening_freq_norm,Evening_LMCI,LMCI_mean,LMCI,LMCI_old,temporal_gap,Morning_category,Midday_category,Evening_category,category,service_class,stop_count,demand_count,demand_norm,LMCI_new,LMCI_new2,desert_windows,n_desert_windows,desert_severity,is_persistent_desert,temporal_gap_flag,priority_score
AME,Ameerpet,17.4357214,78.4447933,174.0,7,0.07781155015197569,0.35714285714285715,11.125,0.3038445199660153,1.9615786877667971,23.958333333333332,0.5440593748034468,2.922438107116523,34.625,0.5553266782865895,2.967507321049094,2.6171747053108043,1.9615786877667971,2.6171747053108043,-0.9608594193497257,Transit Desert,Transit Desert,Transit Desert,Transit Desert,Transit Desert,174.0,35,0.7446808510638298,2.9885318077229988,2.9885318077229988,"['Morning', 'Midday', 'Evening']",3,Persistent,True,False,6.3010534257010145
PUN,Panjagutta,17.4289362,78.450955,522.0,14,0.28936170212765955,0.8571428571428571,13.411764705882353,0.39127392673297023,3.869047074713036,27.254901960784313,0.6535372183970135,4.918100241369209,34.3235294117647,0.5481931641298572,4.496724024300583,4.427957113460942,3.869047074713036,4.427957113460942,-1.049053166656173,Transit Desert,Moderate,Moderate,Transit Desert,Moderate,522.0,8,0.1702127659574468,3.92325813566266,3.92325813566266,['Morning'],1,Partial,False,False,3.741809913284293
IRM,Erra Manzil,17.4202292,78.4563489,626.3,9,0.3527659574468085,0.5,12.263468013468014,0.34737133441466495,3.6533151248927025,20.12878787878788,0.41688156487829425,3.931356046747219,26.596117424242426,0.3653441401817254,3.7252063479609436,3.7699591732002884,3.6533151248927025,3.7699591732002884,-0.27804092185451657,Transit Desert,Transit Desert,Transit Desert,Transit Desert,Transit Desert,626.3,14,0.2978723404255319,3.6472890321534552,3.6472890321534552,"['Morning', 'Midday', 'Evening']",3,Persistent,True,False,4.671781925501909
KHA,Khairatabad,17.4116323,78.4608678,421.3,7,0.22814589665653495,0.35714285714285715,17.98433048433048,0.5660958978715988,3.762255931911927,25.52564102564103,0.596109092492513,3.882308710395584,33.335737179487175,0.5248196406491445,3.59715090302211,3.7472385151098737,3.762255931911927,3.7472385151098737,-0.12005277848365692,Transit Desert,Transit Desert,Transit Desert,Transit Desert,Transit Desert,421.3,28,0.5957446808510638,4.209177587839349,4.209177587839349,"['Morning', 'Midday', 'Evening']",3,Persistent,True,False,4.703893843838434
LKP,Lakdi-ka-pul,17.4040433,78.4649442,1131.3,11,0.6597568389057751,0.6428571428571429,18.805925925925926,0.5975077881619938,6.331672490033994,25.233333333333334,0.5864016604817913,6.287247979313184,37.044583333333335,0.6125797989401223,6.3919605331465075,6.336960334164561,6.331672490033994,6.336960334164561,0.044424510720809884,Moderate,Moderate,Moderate,Moderate,Moderate,1131.3,27,0.574468085106383,6.226414036682479,6.226414036682479,[],0,None,False,False,1.0437474151184278
ASM,Assembly,17.3979907,78.4708797,509.0,7,0.2814589665653495,0.35714285714285715,13.43859649122807,0.3922997808880741,3.3336368135219008,19.175438596491226,0.3852211823980985,3.305322419561999,26.473684210526315,0.3624470779229805,3.2142260016615265,3.2843950782484757,3.3336368135219008,3.2843950782484757,0.028314393959901984,Transit Desert,Transit Desert,Transit Desert,Transit Desert,Transit Desert,509.0,15,0.3191489361702128,3.3725933060565874,3.3725933060565874,"['Morning', 'Midday', 'Evening']",3,Persistent,True,False,5.358047019681512
NAM,Nampally,17.392222,78.4701612,300.3,7,0.15458966565349544,0.35714285714285715,8.16557734204793,0.19069751944958105,1.8928812632086587,10.166666666666668,0.08604314736775903,1.4742637748813705,15.212622549019606,0.09598346284058436,1.5140250367726718,1.6270566916209004,1.8928812632086587,1.6270566916209004,0.4186174883272882,Transit Desert,Transit Desert,Transit Desert,Transit Desert,Transit Desert,300.3,24,0.5106382978723404,2.510176880383564,2.510176880383564,"['Morning', 'Midday', 'Evening']",3,Persistent,True,False,7.700422610898398
GAB,Gandhi Bhavan,17.3858253,78.4733347,504.0,6,0.278419452887538,0.2857142857142857,14.136363636363637,0.4189773692747355,3.3537210272509177,16.651515151515152,0.30140260393735463,2.883421965901394,20.875,0.2299688374795331,2.597686900070108,2.9449432977408065,3.3537210272509177,2.9449432977408065,0.4702990613495235,Transit Desert,Transit Desert,Transit Desert,Transit Desert,Transit Desert,504.0,26,0.5531914893617021,3.699247540181939,3.699247540181939,"['Morning', 'Midday', 'Evening']",3,Persistent,True,False,5.837806356381742
OMC,Osmania Medical College,17.3820769,78.4817011,857.0,7,0.4930091185410334,0.35714285714285715,29.333333333333332,1.0,6.822188449848024,37.6875,1.0,6.822188449848024,47.375,0.8570221306713146,6.250276972533283,6.6315512907431104,6.822188449848024,6.6315512907431104,0.0,Moderate,Moderate,Moderate,Moderate,Moderate,857.0,22,0.46808510638297873,6.4633738601823705,6.4633738601823705,[],0,None,False,False,0.6273914846394646
MGB,Mahatma Gandhi Bus Station,17.3797886,78.4861571,298.0,3,0.15319148936170213,0.07142857142857142,8.333333333333332,0.19711129991503823,1.6258312178972352,11.5,0.1303226618026291,1.3586766654475984,20.75,0.22701103892674165,1.745430173944049,1.5766460190962943,1.6258312178972352,1.5766460190962943,0.2671545524496368,Transit Desert,Transit Desert,Transit Desert,Transit Desert,Transit Desert,298.0,23,0.48936170212765956,2.0672451728029375,2.0672451728029375,"['Morning', 'Midday', 'Evening']",3,Persistent,True,False,7.771669816545243
