lon,lat,type
78.34256161507251,17.51674167024258,business
78.41080235105059,17.41584122135407,business
78.5698372635569,17.350479362802783,business
78.56701760995007,17.350852915245884,business
78.3801019028705,17.43835223116863,business
79.03286887480775,17.36875071873089,business
78.38338998006267,17.33517745212637,business
78.40256460300235,17.420800508686693,business
78.38193136235837,17.434342411750205,business
78.38513558810646,17.435399549401655,business
78.34575090701718,17.420002681260325,business
78.5514124771017,17.426146551153714,business
78.51302692636168,17.369724505604793,business
78.37355329128559,17.448214588124497,business
78.46583119833842,17.402186454263113,business
78.46453898518409,17.416129206497157,business
78.53327636819606,17.38182793120326,business
78.46157760112685,17.234910759680726,business
78.43524340559028,17.458520471139085,business
78.42173834007873,17.466667758136285,business
78.41905885426165,17.46541494959805,business
78.43578369267173,17.4741714093258,business
78.27547335663947,17.534473505319795,business
78.2877192812957,17.492227071067276,business
78.25079280542053,17.536707585380768,business
78.42987178754377,17.459136831511103,business
78.5402419157634,17.43267895582714,business
78.4665774114559,17.56439687937618,business
78.47540338988878,17.584079753565845,business
78.4923677349772,17.613288105652977,business
78.49657019070008,17.578623782142916,business
78.91205140453026,17.47997903971897,business
78.61312195090005,17.660418853693486,business
78.43355008976515,17.313494944097663,business
78.43232343944842,17.305095673181498,business
78.50111121833372,17.392292553523653,business
78.5887595003908,17.403285482211103,business
78.59034897830468,17.47070742510802,business
78.80270584323996,17.474653038859138,business
78.35997922662611,17.513055803657238,business
78.4858897632204,17.419791913950245,business
78.46627918711742,17.40966418551586,business
78.34001875915405,17.22241077734318,business
78.49992382868882,17.404775991229656,business
78.53412508589052,17.346846216970672,business
78.55961857929428,17.425071796300948,business
78.57736927391541,17.43869203777404,business
78.56116983454031,17.434940330795726,business
78.56989371386935,17.430992140212215,business
78.55820322085484,17.441630550837203,business
78.54998333131061,17.39502691580852,business
78.55651470574568,17.45401258878437,business
78.55939133227551,17.452749970495496,business
78.48495369709677,17.41488442152693,business
78.55655565537064,17.45643816227457,business
78.55377850132963,17.44837946893279,business
78.55917081919397,17.455344659987887,business
78.55168363991598,17.453083871808083,business
78.5574841101533,17.456120681403316,business
78.55662379846272,17.4511111769574,business
78.56256385022809,17.4230400189238,business
78.55830241562256,17.456025573081515,business
78.60380051142394,17.464235379824594,business
78.59240409379086,17.46829189000509,business
78.60175852981273,17.475568120443516,business
78.59900643448945,17.457000863834818,business
78.57584180021581,17.455134695663595,business
78.60802692021709,17.462979384261875,business
78.59131224491544,17.46301406123509,business
78.59353817881833,17.470402711537208,business
78.60159476408774,17.465624988632634,business
78.60389594587139,17.47309303620722,business
78.6036639863596,17.46901655556999,business
78.60602953831477,17.46463381808647,business
78.58729980418784,17.457520513099894,business
78.60064196050848,17.46433543181625,business
78.60633778714251,17.472592336379588,business
78.59846384857464,17.467976785441664,business
78.60933878142991,17.453591351909058,business
78.60063378117482,17.451934900652294,business
78.7234771112242,17.476440791794744,business
78.60445826602847,17.45313214095972,business
78.71356235207342,17.460880709017818,business
78.6167515,17.4484643,business
78.6179348794219,17.455295210606717,business
78.61332344148306,17.461563125159657,business
78.6155259873358,17.45699527784353,business
78.66295344659558,17.446840653914325,business
78.61064065754469,17.461550393800497,business
78.61698826562356,17.462292406161634,business
78.61349829461902,17.457726284712002,business
78.6144365465751,17.45115791018955,business
78.67702191730834,17.45122799360881,business
78.50346105202057,17.405306364487565,business
78.4993479445051,17.40432291928627,business
78.5023378617609,17.40761902937775,business
78.25338880797527,17.52697065383476,business
78.27696550343985,17.526300192449686,business
78.26529790373249,17.52507591182454,business
78.27099640760683,17.52300425409011,business
78.34666779394668,17.5436600345542,business
78.34888758923677,17.52528256655114,business
78.45203363254382,17.50388772503892,business
78.44813891448644,17.522796151387293,business
78.45903300887844,17.533034200478113,business
78.55662065615161,17.454128338125706,business
78.40244388031165,17.405315268359818,business
78.39781965703023,17.400775260982204,business
78.4537606475285,17.598635191253006,business
78.53766071642704,17.447429674585056,business
78.42329756981269,17.451240511968265,business
78.47117819100362,17.740748644531262,business
78.17228736230888,17.530345728428102,business
78.82337463029923,17.431499871752507,business
