stop_id,stop_name,stop_lat,stop_lon,LMCI_old,LMCI_new,LMCI_new2,LMCI_mean,Morning_LMCI,Midday_LMCI,Evening_LMCI,density_norm,walkzone_norm,Morning_freq_norm,stop_count_3km,stop_count_800m,demand_count,desert_severity,is_persistent_desert,priority_score,service_class,candidate_rank,covered_demand_points_if_selected,weighted_demand_if_selected,equity_weighted_candidate_score,mclp_selected,mclp_selection_rank,mclp_marginal_weighted_demand,mclp_cumulative_coverage_pct,assigned_demand_count,demand_signal,service_signal,mismatch_class,is_high_demand_low_service,is_possible_overserved,demand_percentile,service_percentile,lmci_gap_raw,lmci_gap_norm,demand_norm,mclp_candidate_norm,temporal_gap,temporal_gap_norm,desert_norm,final_priority_score,priority_band,final_priority_rank
NAM,Nampally,17.392222,78.4701612,1.6270566916209004,2.510176880383564,2.510176880383564,1.6270566916209004,1.892881263208659,1.4742637748813705,1.5140250367726718,0.1545896656534954,0.3571428571428571,0.190697519449581,300.3,7,24,Persistent,True,7.700422610898398,Transit Desert,29,5,6.25,9.176115499738868,False,,0.0,0.0,0.0,24,2.510176880383564,Balanced,False,False,84.21052631578947,35.08771929824561,3.9531969797988067,0.6468403075316096,0.5106382978723404,0.18522470538745048,0.4186174883272884,0.18533284390545857,1.0,48.66,Medium,11
RTC,RTC Cross Roads,17.4070321,78.4968023,2.8427929941857832,3.425800129809873,3.425800129809873,2.8427929941857832,3.030015606452274,2.8704572584891297,2.6279061176159453,0.3618844984802431,0.5714285714285714,0.1622911356556216,641.3,10,23,Persistent,True,5.982179032241602,Transit Desert,10,11,12.25,17.508014471068176,False,,0.0,0.0,0.0,23,3.425800129809873,Balanced,False,False,80.7017543859649,63.1578947368421,3.0375737303724977,0.4970218119523309,0.48936170212765956,0.35340845725134007,0.4021094888363286,0.17558634374998466,1.0,47.74,Medium,12
JBS,JBS Parade Ground,17.4444775,78.497584,2.62560465981749,2.9702852029656563,2.9702852029656563,2.62560465981749,2.878632502911684,2.5497408306991147,2.4484406458416714,0.2936170212765957,0.2142857142857142,0.2990654205607477,529.0,5,18,Persistent,True,6.289139069628137,Transit Desert,8,10,12.25,17.74540351409678,False,,0.0,0.0,0.0,18,2.9702852029656563,Balanced,False,False,68.42105263157895,47.368421052631575,3.493088657216714,0.5715552634526776,0.3829787234042553,0.3582002796252447,0.4301918570700125,0.19216647549190546,1.0,47.6,Medium,13
MAD,Madhapur,17.4372637,78.4004257,0.5180983642360989,1.0711198425754005,1.0711198425754005,0.5180983642360989,0.654749207841274,0.4270516717325228,0.4724942131345001,0.0139817629179331,0.3571428571428571,0.0569243840271877,69.0,7,9,Persistent,True,9.267753059949644,Transit Desert,24,7,7.25,11.088145776510284,False,,0.0,0.0,0.0,9,1.0711198425754005,Balanced,False,False,46.49122807017544,10.526315789473683,5.3922540176069695,0.8823054517295932,0.19148936170212766,0.22382003962413805,0.2276975361087512,0.07261165409684112,1.0,47.58,Medium,14
JR5,Road No 5 Jubilee Hills,17.4300489,78.4232069,0.3601429769404766,0.3518237082066869,0.3518237082066869,0.3601429769404766,0.1930091185410334,0.650832461728236,0.2365873505521604,0.0243161094224924,0.0714285714285714,0.0,86.0,3,5,Persistent,True,9.490997055676642,Transit Desert,48,1,1.25,1.95,False,,0.0,0.0,0.0,5,0.3518237082066869,Low Demand - Low Service,False,False,23.684210526315788,1.7543859649122806,6.111550151975684,1.0,0.10638297872340426,0.03936177301994587,0.4578233431872025,0.20848040159086423,1.0,45.73,Medium,15
BLR,Balanagar,17.4767464,78.4221082,0.8722550122764471,0.7526046333861008,0.7526046333861008,0.8722550122764471,0.7477009965576282,0.4216924872706785,1.4473715530010347,0.0115501519756838,0.0714285714285714,0.1546304163126593,65.0,3,2,Persistent,True,8.767210808270468,Transit Desert,49,1,1.25,1.9286872728777,False,,0.0,0.0,0.0,2,0.7526046333861008,Low Demand - Low Service,False,False,8.771929824561402,7.017543859649122,5.71076922679627,0.9344223780852304,0.0425531914893617,0.038931564441779705,1.0256790657303563,0.5437485175781754,1.0,45.51,Medium,16
GAB,Gandhi Bhavan,17.3858253,78.4733347,2.9449432977408065,3.699247540181939,3.699247540181939,2.9449432977408065,3.3537210272509177,2.883421965901394,2.597686900070108,0.278419452887538,0.2857142857142857,0.4189773692747355,504.0,6,26,Persistent,True,5.837806356381742,Transit Desert,37,4,4.75,6.733564671861032,False,,0.0,0.0,0.0,26,3.699247540181939,High Demand - High Service,False,False,85.96491228070175,71.9298245614035,2.7641263200004316,0.45227908652715076,0.5531914893617021,0.13592053550201036,0.7560341271808095,0.3845472505236716,1.0,44.64,Medium,17
YUG,Yusufguda,17.4351132,78.4273216,1.1658259900220038,1.4674730717681603,1.4674730717681603,1.1658259900220038,1.083972698607815,1.232094847967919,1.1814104234902771,0.0121580547112462,0.2857142857142857,0.1843670348343246,66.0,6,11,Persistent,True,8.35229645034014,Transit Desert,33,4,4.75,7.1845536026480925,False,,0.0,0.0,0.0,11,1.4674730717681603,Balanced,False,False,51.75438596491229,12.280701754385964,4.99590078841421,0.8174523098365122,0.23404255319148937,0.14502398367029157,0.14812214936010393,0.025629491313136552,1.0,44.26,Medium,18
NAR,Narayanaguda,17.3943658,78.4899578,2.7655236577537785,3.630385792260094,3.630385792260094,2.7655236577537785,3.096871647949877,2.7397304172863595,2.4599689080250977,0.2311854103343465,0.9285714285714286,0.253093291926679,426.3,15,17,Persistent,True,6.091386547778694,Transit Desert,17,8,10.0,14.205221063958184,False,,0.0,0.0,0.0,17,3.630385792260094,Balanced,False,False,65.78947368421053,66.66666666666666,2.8329880679222765,0.463546563060839,0.3617021276595745,0.28673983959880817,0.6369027399247793,0.3142108003045779,1.0,43.26,Medium,19
CDP,Chikkadpally,17.4003634,78.4948964,3.1824807699035405,3.3162391804203777,3.3162391804203777,3.1824807699035405,3.038402745491287,3.4728372145626665,3.0362023496566675,0.2911854103343465,0.6428571428571429,0.2349046377406029,525.0,11,16,Persistent,True,5.502086155074188,Transit Desert,16,8,10.0,14.338866566403944,False,,0.0,0.0,0.0,16,3.3162391804203777,Balanced,False,False,62.28070175438597,59.64912280701754,3.147134679761993,0.514948679386132,0.3404255319148936,0.2894375441795295,0.436634864905999,0.19597049650060197,1.0,43.15,Medium,20
